url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/lexus-es-69c581f12351b444472731,Lexus ES VII,23999,2098713,2021,90000,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/c/2/0/c20b125c79bbf7519162f7a70bac0b16_640x480.jpg
https://mashina.kg/details/genesis-gv80-6a06f46f7a8aaefc93c9efc4,Продажа Genesis GV80 I Рестайлинг 2023,40000,3498000,2023,22000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10033904/088fe3bb6b264658cc1a56cf672cc2d2_medium.webp
https://mashina.kg/details/bmw-x7-6a072bf5c705aa5c9a9c81cb,Продажа BMW X7 I (G07) 2020,35700,3121965,2020,220000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034143/63c34e3f2dc03ea6a903d1e4f960ce0b_medium.webp
https://mashina.kg/details/bmw-x5-69fffea832901420399530,BMW X5 III (F15),35500,3104475,2017,200000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/7/3/973720a8c8fd36da710d31fa8a76d5da_640x480.jpg
https://mashina.kg/details/kia-stinger-69c889deab0e2849411617,Kia Stinger I,18700,1635315,2018,104000,3.3 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/8/0/180e6a9c4c83da8e13ebce6b2c3d5881_640x480.jpg
https://mashina.kg/details/lexus-nx-6a07592bb8055db3c294107a,Продажа Lexus NX II 2023,35800,3130710,2023,28000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034319/dce064feaa800e284682c8d218253e5f_medium.webp
https://mashina.kg/details/cadillac-escalade-6a0984aafc6db3fe8d13bfb5,Продажа Cadillac Escalade IV 2020,55000,4809750,2020,121000,6.2 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035756/74221442f66fb96f0cd872425f619157_medium.webp
https://mashina.kg/details/toyota-camry-6a096b16163f86ccc0153d34,Продажа Toyota Camry IX (XV80) 2025,55000,4809750,2025,8500,2.5 л.,вариатор,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035606/bf6afc2c959ad09c54b0685f76006dcf_medium.webp
https://mashina.kg/details/nissan-patrol-6a070fe3017a2e817b407a62,Продажа Nissan Patrol V (Y61) 2003,22900,2002605,2003,240000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10034032/2eff7b5c762341865b53779ee672f9bf_medium.webp
https://mashina.kg/details/bmw-x3-6a043ea898376f21caa60c54,Продажа BMW X3 III (G01) 2019,33000,2885850,2019,138000,2.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/10031161/4f441e7f699f1faf7372d05ebeb33244_medium.webp
https://mashina.kg/details/lexus-gx-6a03f8d3fbdd8588bfd7093a,Продажа Lexus GX I 2005,19500,1705275,2005,250000,4.7 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/10030777/cc51e8a62c09828227fbe55c52216f34_medium.webp
https://mashina.kg/details/bmw-7-serii-69d3b6186eb7e527217549,BMW 7 серии VI (G11/G12) Рестайлинг,44500,3891525,2020,55000,4.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/a/f/8/af8f3bbb351bea72d98ec0457db8645d_640x480.jpg
https://mashina.kg/details/toyota-kluger-6a087fa44fe87ef43f622316,Продажа Toyota Kluger I (XU20) Рестайлинг 2003,11500,1005675,2003,162000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-16/10035131/874eac8df4bce8101a7c8e2e099622f2_medium.webp
https://mashina.kg/details/kia-sorento-6a07122999a22ee340307e4f,Продажа Kia Sorento III Prime Рестайлинг 2020,13900,1215555,2020,120000,2.4 л.,автомат,Ош,https://storage.mashina.kg/catalog/images/2026-05-15/10034042/a1e407b8b83d7cf7a83f17ff56a3af90_medium.webp
https://mashina.kg/details/kia-k7-69fdfe7116d4b224478435,Kia K7 YG (II) Рестайлинг,17500,1530375,2020,98000,2.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/b/8/bb8ea0a2aa5989c8835e0d4c24e8e2b5_640x480.jpg
https://mashina.kg/details/hyundai-santa-fe-69fe00dca1879017988312,Hyundai Santa Fe IV,17200,1504140,2020,156000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/e/0/1e0b6866bc89c474dbccc9de36809fa1_640x480.jpg
https://mashina.kg/details/audi-a6-6a09bff48d12af36e10ec1a4,Продажа Audi A6 V (C8) Рестайлинг 2022,26000,2273700,2022,44700,2.0 л.,робот,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036058/003a8ee27a35037ae4752d9958c144db_medium.webp
https://mashina.kg/details/toyota-camry-69ff7ca22c30a296786945,Toyota Camry VIII (XV70) Рестайлинг,20000,1749000,2021,154500,2.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/5/c/4/5c428779f2e404b59be8aa3690a4bded_640x480.jpg
https://mashina.kg/details/bmw-ix1-69e9c769e8c9a581664158,BMW iX1,27500,2404875,2025,118,,,Бишкек,https://im.mashina.kg/tachka/images/d/a/f/dafda473b5f7b6e95db6a6725f7f8ccd_640x480.jpg
https://mashina.kg/details/lexus-es-69c925749de72314480122,Lexus ES VI Рестайлинг,27500,2404875,2017,100000,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/4/6/c/46c04d7192f865fea7c6b36889331e92_640x480.jpg
https://mashina.kg/details/honda-crv-69b8d82e112b8201884089,Honda CR-V III,11000,961950,2009,255000,2.4 л.,автомат,Кочкор-Ата,https://im.mashina.kg/tachka/images/a/d/4/ad497b07034b559edf29d1e1a0e5e731_640x480.jpg
https://mashina.kg/details/bmw-x7-69f9ff43cdd84134308434,BMW X7 I (G07) Рестайлинг,98500,8613825,2023,9000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/c/8/1c8c02bcf0e2f304fc123210a8f2136b_640x480.jpg
https://mashina.kg/details/toyota-rav4-6a09d9ac1a669d302bd7d36b,Продажа Toyota RAV4 V (XA50) 2020,24500,2142525,2020,87000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036201/d35766842f31bd76ec27b7c36c88fc87_medium.webp
https://mashina.kg/details/toyota-mark-ii-69dfc487a24b8633530932,Toyota Mark II IX (X110),5500,480975,2003,290000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/5/e/d5e6bf7ede633763180d238c968460d1_640x480.jpg
https://mashina.kg/details/mercedesbenz-eklass-69fb2ee9a2cf4125956165,"Mercedes-Benz E-Класс II (W210, S210) Рестайлинг",8300,725835,2000,260000,3.2 л.,автомат,с. Ивановка,https://im.mashina.kg/tachka/images/9/e/b/9eb87b0cdbee8bcee1a94beaf184ba16_640x480.jpg
https://mashina.kg/details/toyota-camry-6a037a27261fc6e2ecb3ae89,Продажа Toyota Camry VIII (XV70) 2018,19600,1714020,2018,99000,2.5 л.,автомат,Талас,https://storage.mashina.kg/catalog/images/2026-05-12/10030571/2d57bf3159bb3fd571cc17f93f7b1f17_medium.webp
https://mashina.kg/details/toyota-camry-69bbce8416a68347483225,Toyota Camry VIII (XV70),16300,1425435,2019,194000,2.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/1/b/b1b3440c7fc8a7ac78a0a6a56401cb80_640x480.jpg
https://mashina.kg/details/toyota-camry-6a09c8c5769acffeef5d2fbd,Продажа Toyota Camry VII (XV50) 2012,12300,1075635,2012,233000,2.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036105/f623592cbd68a51c8b88ac9a86793455_medium.webp
https://mashina.kg/details/bmw-5-serii-6a09c796f064a3cc4e3cad8d,Продажа BMW 5 серии VII (G30/G31) Рестайлинг 2021,33500,2929575,2021,82000,2.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10036098/d6feb5deaf1b8dfa56f0f4a86594e5d4_medium.webp
https://mashina.kg/details/toyota-rav4-6a016a85db1ab764478529,Toyota RAV4 V (XA50),33300,2912085,2026,13,2.0 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/3/6/b/36b7beb1e79f19f0c831b45f09ce6621_640x480.jpg
https://mashina.kg/details/neta-u-6a096aa8729e7e4b0571caeb,Продажа Neta U 2022,13722,1200000,2022,109000,,,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-17/10035604/375e8c8fbbf447c4ae4274ffc781876e_medium.webp
